Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-01-02,749.7,749.7,749.7,749.7,2623478
1995-01-03,775.9,775.9,775.9,775.9,3763225
1995-01-04,760.8,760.8,760.8,760.8,3287448
1995-01-05,766.3,766.3,766.3,766.3,3090882
1995-01-06,735.3,735.3,735.3,735.3,1979411
1995-01-09,743.8,743.8,743.8,743.8,1569598
1995-01-10,721.9,721.9,721.9,721.9,1379210
1995-01-11,732.6,732.6,732.6,732.6,2270028
1995-01-12,726.5,726.5,726.5,726.5,1838003
1995-01-13,739.4,739.4,739.4,739.4,1853161
1995-01-16,740.6,740.6,740.6,740.6,2162509
1995-01-17,737.9,737.9,737.9,737.9,1880198
1995-01-18,733.4,733.4,733.4,733.4,1978861
1995-01-19,729.4,729.4,729.4,729.4,1700821
1995-01-20,718.5,718.5,718.5,718.5,1898106
1995-01-23,696,696,696,696,1547965
1995-01-24,679.1,679.1,679.1,679.1,2120862
1995-01-25,679.1,679.1,679.1,679.1,2244442
1995-01-26,662.2,662.2,662.2,662.2,1490103
1995-01-27,641.6,641.6,641.6,641.6,1296441
1995-01-30,632.8,632.8,632.8,632.8,1814923
1995-01-31,605.9,605.9,605.9,605.9,1972396
1995-02-01,615.5,615.5,615.5,615.5,2014314
1995-02-02,597.8,597.8,597.8,597.8,2199993
1995-02-03,586.7,586.7,586.7,586.7,1949411
1995-02-06,620.2,620.2,620.2,620.2,937601
1995-02-07,663.3,663.3,663.3,663.3,4506182
1995-02-08,653.1,653.1,653.1,653.1,3478111
1995-02-09,658.9,658.9,658.9,658.9,2537573
1995-02-10,648.7,648.7,648.7,648.7,2446711
1995-02-13,632,632,632,632,1410337
1995-02-14,646.1,646.1,646.1,646.1,1393876
1995-02-15,649.5,649.5,649.5,649.5,1500049
1995-02-16,657.4,657.4,657.4,657.4,1722527
1995-02-17,659.6,659.6,659.6,659.6,1763525
1995-02-20,648.7,648.7,648.7,648.7,1169064
1995-02-21,618,618,618,618,3328295
1995-02-22,615,615,615,615,1870329
1995-02-23,629.8,629.8,629.8,629.8,1852027
1995-02-24,678.9,678.9,678.9,678.9,5114083
1995-02-27,645.9,645.9,645.9,645.9,1763819
1995-02-28,632.3,632.3,632.3,632.3,1364431
1995-03-01,633.8,633.8,633.8,633.8,1071551
1995-03-02,641.3,641.3,641.3,641.3,1136307
1995-03-03,657.4,657.4,657.4,657.4,2343624
1995-03-06,660.9,660.9,660.9,660.9,1537590
1995-03-07,654.7,654.7,654.7,654.7,1745174
1995-03-08,653.3,653.3,653.3,653.3,1217610
1995-03-09,650.8,650.8,650.8,650.8,1329794
1995-03-10,638.9,638.9,638.9,638.9,1235977
1995-03-13,635,635,635,635,1153957
1995-03-14,618.8,618.8,618.8,618.8,1309188
1995-03-15,619.3,619.3,619.3,619.3,1036844
1995-03-16,612,612,612,612,1114170
1995-03-17,606,606,606,606,1190985
1995-03-20,600.1,600.1,600.1,600.1,1018265
1995-03-21,593.3,593.3,593.3,593.3,1198666
1995-03-22,584.5,584.5,584.5,584.5,1159118
1995-03-23,578.1,578.1,578.1,578.1,1065344
1995-03-24,581.3,581.3,581.3,581.3,1043791
1995-03-27,593,593,593,593,1250510
1995-03-28,577.8,577.8,577.8,577.8,1671827
1995-03-29,583.5,583.5,583.5,583.5,1455221
1995-03-30,594.5,594.5,594.5,594.5,1523178
1995-03-31,606.6,606.6,606.6,606.6,1530840
1995-04-03,605.3,605.3,605.3,605.3,1354081
1995-04-04,625.2,625.2,625.2,625.2,2306598
1995-04-05,643.5,643.5,643.5,643.5,2193462
1995-04-06,669.4,669.4,669.4,669.4,3736107
1995-04-07,689.9,689.9,689.9,689.9,3331389
1995-04-10,729.9,729.9,729.9,729.9,5239447
1995-04-11,741.3,741.3,741.3,741.3,5524200
1995-04-12,742,742,742,742,4628590
1995-04-13,709.9,709.9,709.9,709.9,4057733
1995-04-14,731,731,731,731,2653962
1995-04-18,764.7,764.7,764.7,764.7,2903277
1995-04-19,816.8,816.8,816.8,816.8,5366832
1995-04-20,849.4,849.4,849.4,849.4,10912212
1995-04-21,830.8,830.8,830.8,830.8,6935733
1995-04-24,882.3,882.3,882.3,882.3,3717283
1995-04-25,900.8,900.8,900.8,900.8,8993304
1995-04-26,840.3,840.3,840.3,840.3,5590869
1995-04-27,869.4,869.4,869.4,869.4,7035357
1995-04-28,853.3,853.3,853.3,853.3,6400038
1995-05-04,848.5,848.5,848.5,848.5,4594579
1995-05-05,834.2,834.2,834.2,834.2,4108917
1995-05-09,839,839,839,839,3571981
1995-05-10,864,864,864,864,4988168
1995-05-11,894.8,894.8,894.8,894.8,5614432
1995-05-12,915.2,915.2,915.2,915.2,5358786
1995-05-15,901.7,901.7,901.7,901.7,4593631
1995-05-16,864.8,864.8,864.8,864.8,3519266
1995-05-17,828.5,828.5,828.5,828.5,2930949
1995-05-18,817.9,817.9,817.9,817.9,4614319
1995-05-19,802.4,802.4,802.4,802.4,3630008
1995-05-22,761.8,761.8,761.8,761.8,3198922
1995-05-23,724.4,724.4,724.4,724.4,4059899
1995-05-24,776.8,776.8,776.8,776.8,3053795
1995-05-25,826.1,826.1,826.1,826.1,7027917
1995-05-26,782.2,782.2,782.2,782.2,3379987
1995-05-29,818.9,818.9,818.9,818.9,3557603
1995-05-30,768.7,768.7,768.7,768.7,3060969
1995-05-31,777.9,777.9,777.9,777.9,2689598
1995-06-01,742.1,742.1,742.1,742.1,2253607
1995-06-02,746.6,746.6,746.6,746.6,2471943
1995-06-05,785.3,785.3,785.3,785.3,1927603
1995-06-06,797.9,797.9,797.9,797.9,2308402
1995-06-07,799.9,799.9,799.9,799.9,2381055
1995-06-08,803.6,803.6,803.6,803.6,2764942
1995-06-09,796.8,796.8,796.8,796.8,1639681
1995-06-12,791.4,791.4,791.4,791.4,1500637
1995-06-13,788.8,788.8,788.8,788.8,1424187
1995-06-14,787.2,787.2,787.2,787.2,1415800
1995-06-16,762.9,762.9,762.9,762.9,1339835
1995-06-19,758.9,758.9,758.9,758.9,1273660
1995-06-20,781,781,781,781,1502074
1995-06-21,792.4,792.4,792.4,792.4,1717496
1995-06-22,790.1,790.1,790.1,790.1,1758721
1995-06-23,794.8,794.8,794.8,794.8,1449226
1995-06-26,822.2,822.2,822.2,822.2,3113093
1995-06-27,833.1,833.1,833.1,833.1,2799465
1995-06-28,820.1,820.1,820.1,820.1,1834016
1995-06-29,840.1,840.1,840.1,840.1,2456645
1995-06-30,849.9,849.9,849.9,849.9,3618467
1995-07-03,852.2,852.2,852.2,852.2,2172393
1995-07-04,846,846,846,846,3184085
1995-07-05,824.2,824.2,824.2,824.2,2201022
1995-07-06,827.6,827.6,827.6,827.6,1918186
1995-07-07,830,830,830,830,1681100
1995-07-10,829.2,829.2,829.2,829.2,1519208
1995-07-11,820.5,820.5,820.5,820.5,1759184
1995-07-12,803.7,803.7,803.7,803.7,1605969
1995-07-13,817.4,817.4,817.4,817.4,1860833
1995-07-14,821,821,821,821,1512433
1995-07-17,845.9,845.9,845.9,845.9,2582640
1995-07-18,871.8,871.8,871.8,871.8,3510732
1995-07-19,860,860,860,860,3523731
1995-07-20,857.8,857.8,857.8,857.8,2854676
1995-07-21,843.1,843.1,843.1,843.1,2269206
1995-07-24,824.5,824.5,824.5,824.5,1951810
1995-07-25,812.4,812.4,812.4,812.4,1901203
1995-07-26,816.6,816.6,816.6,816.6,2006617
1995-07-27,838.3,838.3,838.3,838.3,2917612
1995-07-28,831.6,831.6,831.6,831.6,2805582
1995-07-31,814.7,814.7,814.7,814.7,2087902
1995-08-01,811.8,811.8,811.8,811.8,1590937
1995-08-02,820.4,820.4,820.4,820.4,1573750
1995-08-03,816.3,816.3,816.3,816.3,2052891
1995-08-04,812.1,812.1,812.1,812.1,1524131
1995-08-07,819.2,819.2,819.2,819.2,1526917
1995-08-08,813.1,813.1,813.1,813.1,1276460
1995-08-09,813.5,813.5,813.5,813.5,1407143
1995-08-10,826.2,826.2,826.2,826.2,1944511
1995-08-11,841.1,841.1,841.1,841.1,2717688
1995-08-16,842.7,842.7,842.7,842.7,1917614
1995-08-17,838,838,838,838,2010789
1995-08-18,837.3,837.3,837.3,837.3,1491655
1995-08-21,839.8,839.8,839.8,839.8,1614751
1995-08-22,835.1,835.1,835.1,835.1,1747469
1995-08-23,835.1,835.1,835.1,835.1,1661086
1995-08-24,839.1,839.1,839.1,839.1,1149180
1995-08-25,841.2,841.2,841.2,841.2,1126727
1995-08-28,838.2,838.2,838.2,838.2,1158530
1995-08-29,835.4,835.4,835.4,835.4,1412130
1995-08-30,828.1,828.1,828.1,828.1,1436920
1995-08-31,824.7,824.7,824.7,824.7,1501028
1995-09-01,831.7,831.7,831.7,831.7,1359865
1995-09-04,844.8,844.8,844.8,844.8,2292627
1995-09-05,860.8,860.8,860.8,860.8,2582219
1995-09-06,863.1,863.1,863.1,863.1,2771088
1995-09-07,863.8,863.8,863.8,863.8,2223665
1995-09-08,883.6,883.6,883.6,883.6,3347306
1995-09-11,909,909,909,909,4368167
1995-09-12,925.4,925.4,925.4,925.4,4614761
1995-09-13,911.8,911.8,911.8,911.8,4001773
1995-09-14,929.1,929.1,929.1,929.1,3814539
1995-09-15,906.1,906.1,906.1,906.1,3454133
1995-09-18,882.9,882.9,882.9,882.9,2805175
1995-09-19,874.7,874.7,874.7,874.7,2862520
1995-09-20,885.7,885.7,885.7,885.7,2619874
1995-09-21,885.5,885.5,885.5,885.5,2085106
1995-09-22,885.4,885.4,885.4,885.4,1835243
1995-09-25,880.3,880.3,880.3,880.3,1831869
1995-09-26,878.4,878.4,878.4,878.4,1908865
1995-09-27,890,890,890,890,1643409
1995-09-28,882,882,882,882,2341351
1995-09-29,884.8,884.8,884.8,884.8,1864057
1995-10-02,879.6,879.6,879.6,879.6,1732856
1995-10-03,869.7,869.7,869.7,869.7,1878685
1995-10-04,845.3,845.3,845.3,845.3,1855772
1995-10-05,838.7,838.7,838.7,838.7,1644590
1995-10-06,846.5,846.5,846.5,846.5,1726997
1995-10-09,827.2,827.2,827.2,827.2,1795287
1995-10-10,805.7,805.7,805.7,805.7,1810070
1995-10-11,805.7,805.7,805.7,805.7,1721004
1995-10-12,810.1,810.1,810.1,810.1,1315308
1995-10-13,798.6,798.6,798.6,798.6,1157921
1995-10-16,812.7,812.7,812.7,812.7,1377813
1995-10-17,825.4,825.4,825.4,825.4,1747525
1995-10-18,825.5,825.5,825.5,825.5,2058462
1995-10-19,814.3,814.3,814.3,814.3,2126578
1995-10-20,789.7,789.7,789.7,789.7,1786639
1995-10-23,801,801,801,801,1463051
1995-10-24,796.3,796.3,796.3,796.3,1464878
1995-10-25,804.4,804.4,804.4,804.4,1252720
1995-10-26,810.7,810.7,810.7,810.7,1329123
1995-10-27,804.1,804.1,804.1,804.1,1443536
1995-10-30,801.7,801.7,801.7,801.7,1168267
1995-10-31,797.5,797.5,797.5,797.5,1406157
1995-11-02,824.7,824.7,824.7,824.7,1667950
1995-11-03,841.4,841.4,841.4,841.4,2323139
1995-11-06,849.8,849.8,849.8,849.8,2011006
1995-11-07,854.3,854.3,854.3,854.3,2118052
1995-11-08,863.1,863.1,863.1,863.1,2404881
1995-11-09,855.3,855.3,855.3,855.3,1971474
1995-11-10,844.6,844.6,844.6,844.6,1967136
1995-11-13,839.6,839.6,839.6,839.6,1609969
1995-11-14,842.4,842.4,842.4,842.4,1685160
1995-11-15,844.4,844.4,844.4,844.4,1396173
1995-11-16,843.8,843.8,843.8,843.8,1630025
1995-11-17,851,851,851,851,1787342
1995-11-20,817.7,817.7,817.7,817.7,3291062
1995-11-21,817.1,817.1,817.1,817.1,1788675
1995-11-22,834.2,834.2,834.2,834.2,2469221
1995-11-23,842.6,842.6,842.6,842.6,2372841
1995-11-24,837.8,837.8,837.8,837.8,1542842
1995-11-27,841.2,841.2,841.2,841.2,1426718
1995-11-28,847.1,847.1,847.1,847.1,2122313
1995-11-29,837.3,837.3,837.3,837.3,1880049
1995-11-30,834,834,834,834,1730211
1995-12-01,833.2,833.2,833.2,833.2,2173483
1995-12-04,840.3,840.3,840.3,840.3,1899762
1995-12-05,845.7,845.7,845.7,845.7,2661282
1995-12-06,830.3,830.3,830.3,830.3,1973662
1995-12-07,823.8,823.8,823.8,823.8,2737351
1995-12-08,819.1,819.1,819.1,819.1,1779585
1995-12-11,832.2,832.2,832.2,832.2,1527037
1995-12-12,831.1,831.1,831.1,831.1,2163609
1995-12-13,821.1,821.1,821.1,821.1,1783621
1995-12-14,821,821,821,821,1947696
1995-12-15,813.1,813.1,813.1,813.1,1942859
1995-12-18,810.4,810.4,810.4,810.4,1708513
1995-12-19,800,800,800,800,1677454
1995-12-20,771.7,771.7,771.7,771.7,2796969
1995-12-21,772.7,772.7,772.7,772.7,1847676
1995-12-22,785.1,785.1,785.1,785.1,1592496
1995-12-27,790.1,790.1,790.1,790.1,1392380
1995-12-28,797.1,797.1,797.1,797.1,2100768
1995-12-29,791.9,791.9,791.9,791.9,2069414
1996-01-02,810.7,810.7,810.7,810.7,890568
1996-01-03,822.9,822.9,822.9,822.9,2247575
1996-01-04,834.6,834.6,834.6,834.6,2884843
1996-01-05,870.5,870.5,870.5,870.5,4029881
1996-01-08,888.6,888.6,888.6,888.6,4406578
1996-01-09,920.5,920.5,920.5,920.5,5742643
1996-01-10,921.1,921.1,921.1,921.1,5551738
1996-01-11,935.7,935.7,935.7,935.7,5951699
1996-01-12,924.7,924.7,924.7,924.7,4678698
1996-01-15,920,920,920,920,2827541
1996-01-16,915.9,915.9,915.9,915.9,2431303
1996-01-17,925.6,925.6,925.6,925.6,2893987
1996-01-18,913.2,913.2,913.2,913.2,3304773
1996-01-19,903.2,903.2,903.2,903.2,3095453
1996-01-22,919.3,919.3,919.3,919.3,3067638
1996-01-23,925,925,925,925,2807760
1996-01-24,957.7,957.7,957.7,957.7,4418794
1996-01-25,1001,1001,1001,1001,7079558
1996-01-26,1028.9,1028.9,1028.9,1028.9,8104884
1996-01-29,1063.5,1063.5,1063.5,1063.5,8156858
1996-01-30,1065.2,1065.2,1065.2,1065.2,7389933
1996-01-31,1097.5,1097.5,1097.5,1097.5,8096251
1996-02-01,1087.4,1087.4,1087.4,1087.4,7209345
1996-02-02,1111.4,1111.4,1111.4,1111.4,7582903
1996-02-05,1114.4,1114.4,1114.4,1114.4,5948875
1996-02-06,1121.5,1121.5,1121.5,1121.5,4468906
1996-02-07,1115,1115,1115,1115,4405431
1996-02-08,1120.8,1120.8,1120.8,1120.8,4681193
1996-02-09,1137.5,1137.5,1137.5,1137.5,5840140
1996-02-12,1183,1183,1183,1183,11378887
1996-02-13,1137.7,1137.7,1137.7,1137.7,8062139
1996-02-14,1127.8,1127.8,1127.8,1127.8,5391210
1996-02-15,1123.3,1123.3,1123.3,1123.3,3876436
1996-02-16,1119.1,1119.1,1119.1,1119.1,4076944
1996-02-19,1114.8,1114.8,1114.8,1114.8,3479246
1996-02-20,1068.1,1068.1,1068.1,1068.1,3768456
1996-02-21,1064.7,1064.7,1064.7,1064.7,2655956
1996-02-22,1089.5,1089.5,1089.5,1089.5,3822490
1996-02-23,1084.3,1084.3,1084.3,1084.3,3913395
1996-02-26,1093.9,1093.9,1093.9,1093.9,3418290
1996-02-27,1101.4,1101.4,1101.4,1101.4,3458820
1996-02-28,1126.8,1126.8,1126.8,1126.8,3058956
1996-02-29,1163.1,1163.1,1163.1,1163.1,5315397
1996-03-01,1177.1,1177.1,1177.1,1177.1,4781526
1996-03-04,1207.7,1207.7,1207.7,1207.7,6811023
1996-03-05,1220.2,1220.2,1220.2,1220.2,8244938
1996-03-06,1257.3,1257.3,1257.3,1257.3,6055582
1996-03-07,1267.4,1267.4,1267.4,1267.4,6775638
1996-03-08,1282,1282,1282,1282,4975433
1996-03-11,1223.5,1223.5,1223.5,1223.5,4111076
1996-03-12,1218.8,1218.8,1218.8,1218.8,3453366
1996-03-13,1239.6,1239.6,1239.6,1239.6,3974888
1996-03-14,1220.1,1220.1,1220.1,1220.1,2946867
1996-03-15,1219.4,1219.4,1219.4,1219.4,5058821
1996-03-18,1249.8,1249.8,1249.8,1249.8,5606073
1996-03-19,1259.6,1259.6,1259.6,1259.6,6951813
1996-03-20,1249.5,1249.5,1249.5,1249.5,4982080
1996-03-21,1235.7,1235.7,1235.7,1235.7,4033212
1996-03-22,1203.7,1203.7,1203.7,1203.7,6048180
1996-03-25,1186.9,1186.9,1186.9,1186.9,5298408
1996-03-26,1186.1,1186.1,1186.1,1186.1,3153125
1996-03-27,1204.7,1204.7,1204.7,1204.7,3649615
1996-03-28,1192.3,1192.3,1192.3,1192.3,3676988
1996-03-29,1204.1,1204.1,1204.1,1204.1,5174777
1996-04-01,1220.8,1220.8,1220.8,1220.8,3345213
1996-04-02,1218.4,1218.4,1218.4,1218.4,4862139
1996-04-03,1208.5,1208.5,1208.5,1208.5,5461583
1996-04-04,1222.7,1222.7,1222.7,1222.7,3574731
1996-04-05,1231.1,1231.1,1231.1,1231.1,3389988
1996-04-09,1232.7,1232.7,1232.7,1232.7,3588218
1996-04-10,1232.1,1232.1,1232.1,1232.1,2788243
1996-04-11,1234.1,1234.1,1234.1,1234.1,2263951
1996-04-12,1233.2,1233.2,1233.2,1233.2,3016276
1996-04-15,1230.8,1230.8,1230.8,1230.8,3385213
1996-04-16,1242.8,1242.8,1242.8,1242.8,5087588
1996-04-17,1255.1,1255.1,1255.1,1255.1,5389598
1996-04-18,1253.7,1253.7,1253.7,1253.7,5997779
1996-04-19,1253,1253,1253,1253,4948839
1996-04-22,1268.5,1268.5,1268.5,1268.5,4727755
1996-04-23,1289.1,1289.1,1289.1,1289.1,5379209
1996-04-24,1290.8,1290.8,1290.8,1290.8,5657841
1996-04-25,1299.6,1299.6,1299.6,1299.6,5438593
1996-04-26,1290.3,1290.3,1290.3,1290.3,4651083
1996-04-29,1301.2,1301.2,1301.2,1301.2,4396098
1996-04-30,1298.9,1298.9,1298.9,1298.9,3647425
1996-05-06,1315.4,1315.4,1315.4,1315.4,4107642
1996-05-07,1378.1,1378.1,1378.1,1378.1,7579463
1996-05-08,1389.5,1389.5,1389.5,1389.5,7395919
1996-05-09,1400.7,1400.7,1400.7,1400.7,6490629
1996-05-10,1378.6,1378.6,1378.6,1378.6,5995384
1996-05-13,1374.7,1374.7,1374.7,1374.7,5316046
1996-05-14,1354.6,1354.6,1354.6,1354.6,5094704
1996-05-15,1342.6,1342.6,1342.6,1342.6,5529076
1996-05-16,1351,1351,1351,1351,4729107
1996-05-17,1358.2,1358.2,1358.2,1358.2,5450604
1996-05-20,1360.4,1360.4,1360.4,1360.4,5496324
1996-05-21,1337.4,1337.4,1337.4,1337.4,4591861
1996-05-22,1304.7,1304.7,1304.7,1304.7,4281909
1996-05-23,1261.2,1261.2,1261.2,1261.2,3628942
1996-05-24,1255.6,1255.6,1255.6,1255.6,5137442
1996-05-27,1255.7,1255.7,1255.7,1255.7,3454426
1996-05-28,1244.7,1244.7,1244.7,1244.7,2888308
1996-05-29,1252.7,1252.7,1252.7,1252.7,3561171
1996-05-30,1235.9,1235.9,1235.9,1235.9,2526061
1996-05-31,1251.1,1251.1,1251.1,1251.1,2681516
1996-06-03,1269.3,1269.3,1269.3,1269.3,2750693
1996-06-04,1297.5,1297.5,1297.5,1297.5,3038935
1996-06-05,1300.9,1300.9,1300.9,1300.9,3530215
1996-06-07,1331.2,1331.2,1331.2,1331.2,4117397
1996-06-10,1361.1,1361.1,1361.1,1361.1,3918827
1996-06-11,1371.7,1371.7,1371.7,1371.7,5053572
1996-06-12,1367.6,1367.6,1367.6,1367.6,3673721
1996-06-13,1367.1,1367.1,1367.1,1367.1,3122696
1996-06-14,1342.4,1342.4,1342.4,1342.4,2711564
1996-06-17,1352.1,1352.1,1352.1,1352.1,2882413
1996-06-18,1354.3,1354.3,1354.3,1354.3,2922631
1996-06-19,1365.7,1365.7,1365.7,1365.7,5143660
1996-06-20,1361.2,1361.2,1361.2,1361.2,3084043
1996-06-21,1369.4,1369.4,1369.4,1369.4,2477228
1996-06-24,1412.5,1412.5,1412.5,1412.5,3657796
1996-06-25,1437.8,1437.8,1437.8,1437.8,4542737
1996-06-26,1459.1,1459.1,1459.1,1459.1,5073841
1996-06-27,1451.9,1451.9,1451.9,1451.9,3996168
1996-06-28,1441.2,1441.2,1441.2,1441.2,3405074
1996-07-01,1447,1447,1447,1447,2437258
1996-07-02,1430.5,1430.5,1430.5,1430.5,2063286
1996-07-03,1430.1,1430.1,1430.1,1430.1,3074914
1996-07-04,1498.2,1498.2,1498.2,1498.2,3904848
1996-07-05,1513.3,1513.3,1513.3,1513.3,3176140
1996-07-08,1480.2,1480.2,1480.2,1480.2,3154126
1996-07-09,1465.1,1465.1,1465.1,1465.1,2469140
1996-07-10,1434.4,1434.4,1434.4,1434.4,2870666
1996-07-11,1415.5,1415.5,1415.5,1415.5,3162040
1996-07-12,1396.3,1396.3,1396.3,1396.3,3360895
1996-07-15,1407.7,1407.7,1407.7,1407.7,3293426
1996-07-16,1371.7,1371.7,1371.7,1371.7,2059246
1996-07-17,1347.8,1347.8,1347.8,1347.8,2622046
1996-07-18,1334.7,1334.7,1334.7,1334.7,2490433
1996-07-19,1327.1,1327.1,1327.1,1327.1,3121593
1996-07-22,1301.1,1301.1,1301.1,1301.1,2612563
1996-07-23,1292.7,1292.7,1292.7,1292.7,2450259
1996-07-24,1315,1315,1315,1315,3326831
1996-07-25,1335.2,1335.2,1335.2,1335.2,2478277
1996-07-26,1338.6,1338.6,1338.6,1338.6,2637275
1996-07-29,1363.2,1363.2,1363.2,1363.2,2213760
1996-07-30,1356.4,1356.4,1356.4,1356.4,2342439
1996-07-31,1351.6,1351.6,1351.6,1351.6,2047104
1996-08-01,1317.9,1317.9,1317.9,1317.9,2415303
1996-08-02,1288.1,1288.1,1288.1,1288.1,1585079
1996-08-05,1342,1342,1342,1342,2426239
1996-08-06,1329.9,1329.9,1329.9,1329.9,1666230
1996-08-07,1295.7,1295.7,1295.7,1295.7,1804201
1996-08-08,1311.1,1311.1,1311.1,1311.1,1970545
1996-08-09,1325,1325,1325,1325,1783498
1996-08-12,1318.7,1318.7,1318.7,1318.7,1547805
1996-08-13,1302.5,1302.5,1302.5,1302.5,1458868
1996-08-14,1306.4,1306.4,1306.4,1306.4,1907338
1996-08-16,1331.1,1331.1,1331.1,1331.1,2309459
1996-08-19,1360.5,1360.5,1360.5,1360.5,3582961
1996-08-20,1377.7,1377.7,1377.7,1377.7,3565635
1996-08-21,1378.2,1378.2,1378.2,1378.2,2719253
1996-08-22,1419.3,1419.3,1419.3,1419.3,3327853
1996-08-23,1449,1449,1449,1449,3288857
1996-08-26,1436.2,1436.2,1436.2,1436.2,2619435
1996-08-27,1413.5,1413.5,1413.5,1413.5,2007298
1996-08-28,1423.7,1423.7,1423.7,1423.7,1662353
1996-08-29,1415.4,1415.4,1415.4,1415.4,1681010
1996-08-30,1442,1442,1442,1442,2691034
1996-09-02,1455.3,1455.3,1455.3,1455.3,2879472
1996-09-03,1448,1448,1448,1448,2636960
1996-09-04,1436.8,1436.8,1436.8,1436.8,2651318
1996-09-05,1408.9,1408.9,1408.9,1408.9,2111946
1996-09-06,1401.6,1401.6,1401.6,1401.6,2288895
1996-09-09,1415.5,1415.5,1415.5,1415.5,1627135
1996-09-10,1436.7,1436.7,1436.7,1436.7,2384632
1996-09-11,1429,1429,1429,1429,2043016
1996-09-12,1448.3,1448.3,1448.3,1448.3,2160591
